F0;F1;F2
0.33384171631323833;0.41205915719667974;0.003394548252646846
0.328501715010642;0.44163822425110755;0.0036746294743918322
0.32849202981511383;0.4400455052558692;0.003913604980943333
0.32848656517073493;0.4143344700470207;0.0043181462304277595
0.3284854526544757;0.4175199080374974;0.004537708063229965
0.32848375016152564;0.41615472032729295;0.00512316809915625
0.3284755624783567;0.38293515271232065;0.005423527139749415
0.3284688186875763;0.41183162591164624;0.006021351406674777
0.328461660264474;0.38725824712796775;0.006921846907032394
0.32845664522708207;0.3613196806340849;0.010829571234901983
0.3284476090059147;0.40682593764089686;0.18227409209709053
