F0;F1;F2
0.15989793968809898;0.027076222919052925;0.07430200482856746
0.15542031810912912;0.01319681453197536;0.12501548388929634
0.15085290239184318;0.013879408387077564;0.1571377358143096
0.16943418580690298;0.06279863466940014;0.01830376494159701
0.15537316040473517;0.025938566493882455;0.1187098981920378
0.17194285356378144;0.020477815653065244;0.11261187073177915
0.1508356720499699;0.07007963579049002;0.2470862610459986
0.15989160558372637;0.03959044359592608;0.07285106995646029
0.15536085670188207;0.0450511944367437;0.07187206283227159
0.1508594296615716;0.009328782686396487;0.39028397601386716
0.15988283020055627;0.07713310562654596;0.03826534488562365
0.16450162821647427;0.05779294639865079;0.05288085822417002
0.16900560216613997;0.04982935142245871;0.02011115094805266
0.16490707637075713;0.1433447095714567;0.022616524553353213
0.160306842130392;0.017292377662588572;0.11860220041751779
0.16553705210735425;0.020932878223133514;0.04497929084359734
0.15087507487778098;0.030034129624495663;0.1288505436719726
0.15084894817415004;0.03458475532517674;0.21036976292169035
0.15991228970331794;0.020932878223133514;0.0761402369517602
