F0;F1;F2
254286937.735;11.374999999999998;159925.51271066582
244389052.099;12.812999999999997;213254.23006584644
254163463.111;11.438999999999998;168519.8682753304
245716688.912;12.4;231636.95306611102
245604738.025;12.437;187530.56311169278
244393213.083;12.761999999999997;163907.3592521826
244389240.05400002;12.780999999999997;182027.8653888106
254268377.25;11.421999999999997;168816.67208482462
245708245.706;12.411;162821.36660763918
245605261.532;12.416;169514.7448661852
254286832.5;11.391999999999998;140559.9497347122
254268536.109;11.405999999999997;221182.284618706
245604982.257;12.422;221789.020246691
244393090.789;12.771999999999997;155557.7410623512
245708899.54000002;12.404;205857.36322352942
244392563.643;12.775999999999998;186522.6839842656
244390748.979;12.779999999999998;231663.05929453942
244392402.252;12.776999999999997;184504.282352643
