F0;F1;F2
256187739.829;12.205999999999998;5587.216734236399
253752807.777;12.809000000000001;3826.8278966896
253617988.669;12.556000000000001;5296.533845843001
256052714.588;12.100999999999999;6707.8919939064
255938388.481;11.889;8951.3361060276
256187488.439;12.161999999999999;5992.446202090001
253617999.044;12.736999999999998;4518.3645888814
255822101.25599998;11.943999999999999;7700.6035873908
255937625.46899998;12.000999999999998;6963.1909373872
252613243.167;11.547;145830.58181421962
256053267.352;12.092999999999998;6757.6107193542
