F0;F1;F2
241489874.982;13.085999999999999;17345.729333040803
249869571.388;13.405999999999999;6134.0338068256015
249341649.891;12.091999999999999;8478.2410326178
241857186.34;13.497;8553.3367105226
241490205.806;13.085999999999999;12215.448230568
241489926.999;13.056999999999999;17229.6546072522
241733027.535;13.497;11589.786612419
241849597.268;13.498999999999999;10024.5460767464
249457330.09600002;12.087999999999997;7044.1428483502
241857129.65600002;13.416999999999998;8870.8435977724
249573155.695;13.406999999999998;6139.8990318201995
249487626.49699998;12.822999999999999;6347.6349592422
249487404.134;12.839999999999998;6807.392130366201
249476311.627;12.073999999999998;6947.6624245286
249476060.337;12.082999999999998;6968.414515877401
249476223.36699998;12.079999999999998;6967.6525158774
